subjid,address1,city,country,website,industry,industryKey,industryDisp,sector,sectorKey,sectorDisp,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,irWebsite,longBusinessSummary
UL,Unilever House,London,United Kingdom,https://www.unilever.com,Household & Personal Products,household-personal-products,Household & Personal Products,Consumer Defensive,consumer-defensive,Consumer Defensive,128377,,,,,,,http://www.unilever.com/investorrelations/,"Unilever PLC operates as a fast-moving consumer goods company in the Asia Pacific, Africa, the Americas, and Europe. It operates through five segments: Beauty & Wellbeing, Personal Care, Home Care, Nutrition, and Ice Cream. The Beauty & Wellbeing segment engages in the sale of hair care products, such as shampoo, conditioner, and styling; skin care products including face, hand, and body moisturizer; and prestige beauty and health & wellbeing products consist of the vitamins, minerals, and supplements. The Personal Care segment offers skin cleansing products comprising soap and shower; deodorants; and oral care products, such as toothpaste, toothbrush, and mouthwash products. The Home Care segment is involved in the sale of fabric care products, including washing powders and liquids, and rinse conditioners; and fabric enhancers, and home and hygiene products. The Nutrition segment provides dressings products, such as mayonnaise and ketchup; sells scratch cooking aids consist of soups, bouillons, and seasonings; plant-based meat; beverages; and functional nutrition products, including Horlicks and Boost, as well as tea products. The Ice Cream segment offers ice cream products including in-home and out-of-home ice creams. The company provides its products under the AXE, Ben & Jerry's, Cif, Clear, Closeup, Comfort, Cornetto, Dermalogica, Domestos, Dove, Dove Men+Care, Hellmann's, Horlicks, Knorr, LUX, Lifebuoy, Liquid I.V., Magnum, Nutrafol, OMO, Paula's Choice, Pepsodent, Pond's, Rexona, Rexona, Sunlight, Sunsilk, Surf, TRESemmé, Vaseline, Wall's, Breyers, and Yasso brand names. Unilever PLC was founded in 1860 and is headquartered in London, the United Kingdom."
UNICY,Sumitomo Fudosan Tokyo Mita Garden Tower.,Tokyo,Japan,https://www.unicharm.co.jp,Household & Personal Products,household-personal-products,Household & Personal Products,Consumer Defensive,consumer-defensive,Consumer Defensive,16223,,,,,,,http://www.unicharm.co.jp/english/ir/index.html,"Unicharm Corporation engages in sale of wellness care products, pet care and feminine care products, baby and child care products, kirei care products, food-packaging materials, etc. It operates through Personal Care and Pet Care segments. The company offers wellness care product under the Lifree, Charmnap, Wave, cookup, and Unicharm brands; pet care products under the Grand Deli, Best Balance, Physicalife Dog, Aiken Genki, Silver Plate, Manner Wear, Deo Sheet, Silver Spoon, AllWell, Physicalife Cat, Neko Genki, Deo Toilet, Deo Sand, Deodorizing beads, and Deo Clean brands; and feminine care products under sofy and silcot brands. It also provides diapers and other baby care products under Moony, Mamypoko Pants, Torepanman, Oyasumiman, and RefF brands. Unicharm Corporation was incorporated in 1941 and is headquartered in Tokyo, Japan."
TRAUF,Tower Five,Docklands,Australia,https://www.transurban.com,Infrastructure Operations,infrastructure-operations,Infrastructure Operations,Industrials,industrials,Industrials,4100,1,1,4,10,2,1/1/2025 1:00,,"Transurban Group engages in the development, operation, management, and maintenance of toll road networks. It operates 22 toll roads in Melbourne, Sydney, and Brisbane in Australia; the Greater Washington, United States; and Montreal, Canada. The company is headquartered in Docklands, Australia."
TRU,555 West Adams,Chicago,United States,https://www.transunion.com,Financial Data & Stock Exchanges,financial-data-stock-exchanges,Financial Data & Stock Exchanges,Financial Services,financial-services,Financial Services,13000,9,2,4,1,2,1/1/2025 1:00,,"TransUnion operates as a global consumer credit reporting agency that provides risk and information solutions. The company operates through U.S. Markets, International, and Consumer Interactive segments. The U.S. Markets segment provides consumer reports, actionable insights, and analytic services to businesses, which uses its services to acquire new customers; assess consumer ability to pay for services; identify cross-selling opportunities; measure and manage debt portfolio risk; collect debt; verify consumer identities; and mitigate fraud risk. This segment serves various industry vertical markets, including financial services, technology, commerce and communications, insurance, media, services and collections, tenant and employment, and public sectors. The International segment offers credit reports, analytics, technology solutions, and other value-added risk management services; consumer services, which help consumers to manage their personal finances; consumer credit reporting, insurance and auto information solutions, and commercial credit information services. It serves customers in financial services, retail credit, insurance, automotive, collections, public sector, and communications industries through direct and indirect channels. The company was formerly known as TransUnion Holding Company, Inc. and changed its name to TransUnion in March 2015. TransUnion was founded in 1968 and is headquartered in Chicago, Illinois."
TDG,1301 East 9th Street,Cleveland,United States,https://www.transdigm.com,Aerospace & Defense,aerospace-defense,Aerospace & Defense,Industrials,industrials,Industrials,16600,7,10,10,9,10,1/1/2025 1:00,,"TransDigm Group Incorporated designs, produces, and supplies aircraft components in the United States and internationally. The Power & Control segment offers mechanical/electro-mechanical actuators and controls, ignition systems and engine technology, specialized pumps and valves, power conditioning devices, specialized AC/DC electric motors and generators, batteries and chargers, databus and power controls, sensor products, switches and relay panels, hoists, winches and lifting devices, delivery systems and electronic components, and cargo loading and handling systems. This segment serves engine and power system and subsystem suppliers, airlines, third party maintenance suppliers, military buying agencies, and repair depots. The Airframe segment provides engineered latching and locking devices, engineered rods, engineered connectors and elastomer sealing solutions, cockpit security components and systems, cockpit displays, engineered audio, radio and antenna systems, lavatory components, seat belts and safety restraints, engineered and customized interior surfaces and related components, thermal protection and insulation products, lighting and control technology, parachutes, specialized flight, wind tunnel and jet engine testing services and equipment, and testing and instrumentation solutions. This segment serves airframe manufacturers, cabin system and subsystem suppliers, airlines, third party maintenance suppliers, military buying agencies, and repair depots. The Non-aviation segment offers seat belts and safety restraints; mechanical/electromechanical actuators and controls; hydraulic/electromechanical actuators and fuel valves; refueling systems; and turbine controls. This segment serves off-road vehicle and subsystem suppliers, child restraint system suppliers, and satellite and space system suppliers; and manufacturers of heavy equipment. TransDigm Group Incorporated was founded in 1993 and is based in Cleveland, Ohio."
WU,7001 East Belleview Avenue,Denver,United States,https://www.westernunion.com,Credit Services,credit-services,Credit Services,Financial Services,financial-services,Financial Services,9000,1,1,2,1,1,1/1/2025 1:00,,"The Western Union Company provides money movement and payment services worldwide. The company operates through Consumer Money Transfer and Consumer Services segments. The Consumer Money Transfer segment facilitates money transfers for international cross-border and intra-country transfers, primarily through a network of retail agent locations, as well as through websites and mobile devices. The Consumer Services segments offers bill payment services, which facilitate payments for consumers, businesses, and other organizations, as well as money order services, retail foreign exchange services, prepaid cards, lending partnerships, and digital wallets. The company was founded in 1851 and is headquartered in Denver, Colorado."
TTC,8111 Lyndale Avenue South,Bloomington,United States,https://www.thetorocompany.com,Tools & Accessories,tools-accessories,Tools & Accessories,Industrials,industrials,Industrials,10706,4,3,5,7,5,12/1/2024 1:00,http://phx.corporate-ir.net/phoenix.zhtml?c=62289&p=irol-irhome,"The Toro Company designs, manufactures, markets, and sells professional turf maintenance equipment and services. It operates through two segments: Professional and Residential. The Professional segment offers turf and landscape equipment products, including sports fields and grounds mowing and maintenance equipment, golf course mowing and maintenance equipment, landscape contractor mowing equipment, landscape creation and renovation equipment, and other maintenance equipment; rental, specialty, and underground construction equipment, such as horizontal directional drills, walk and ride trenchers, stand-on skid steers, vacuum excavators, stump grinders, turf renovation products, asset locators, pipe rehabilitation solutions, materials handling equipment, and other after-market tools; and snow and ice management equipment, such as snowplows, as well as stand-on snow and ice removal equipment, such as snowplow, snow brush, and snow thrower attachments, salt and sand spreaders, and related parts and accessories for light and medium duty trucks, utility task vehicles, skid steers, and front-end loaders. This segment also provides irrigation and lighting products that consist of sprinkler heads, electric and hydraulic valves, controllers, computer irrigation central control systems, coupling systems, and ag-irrigation drip tape and hose products, as well as professionally installed landscape lighting products offered through distributors and landscape contractors. The Residential segment provides walk power mowers, zero-turn riding mowers, snow throwers, replacement parts, and home solution products that include grass and hedge trimmers, leaf blowers, blower-vacuums, chainsaws, string trimmers, hoses, and hose-end retail irrigation products. It sells its products through a network of distributors, dealers, mass retailers, hardware retailers, equipment rental centers, home centers, and online. The company was founded in 1914 and is headquartered in Bloomington, Minnesota."
HD,2455 Paces Ferry Road,Atlanta,United States,https://www.homedepot.com,Home Improvement Retail,home-improvement-retail,Home Improvement Retail,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,465000,3,6,5,1,1,1/1/2025 1:00,http://phx.corporate-ir.net/phoenix.zhtml?c=63646&p=irol-irhome,"The Home Depot, Inc. operates as a home improvement retailer in the United States and internationally. It sells various building materials, home improvement products, lawn and garden products, and décor products, as well as facilities maintenance, repair, and operations products. The company also offers installation services for flooring, water heaters, bath, garage doors, cabinets, cabinet makeovers, countertops, sheds, furnaces and central air systems, and windows. In addition, it provides tool and equipment rental services. The company primarily serves homeowners; and professional renovators/remodelers, general contractors, maintenance professionals, handymen, property managers, and building service contractors, as well as specialty tradesmen, such as electricians, plumbers, and painters. It sells its products through websites, including homedepot.com; homedepot.ca and homedepot.com.mx; blinds.com, justblinds.com, and americanblinds.com for custom window coverings; thecompanystore.com, an online site for textiles and décor products; hdsupply.com for maintenance, repair, and operations (MRO) products and related services; and The Home Depot stores. The Home Depot, Inc. was incorporated in 1978 and is headquartered in Atlanta, Georgia."
HSY,19 East Chocolate Avenue,Hershey,United States,https://www.thehersheycompany.com,Confectioners,confectioners,Confectioners,Consumer Defensive,consumer-defensive,Consumer Defensive,18650,8,8,6,10,10,1/1/2025 1:00,http://www.thehersheycompany.com/investors.aspx,"The Hershey Company, together with its subsidiaries, engages in the manufacture and sale of confectionery products and pantry items in the United States and internationally. The company operates through three segments: North America Confectionery, North America Salty Snacks, and International. It offers chocolate and non-chocolate confectionery products; gum and mint refreshment products, including mints, chewing gums, and bubble gums; protein bars; pantry items, such as baking ingredients, toppings, beverages, and sundae syrups; and snack items comprising spreads, bars, snack bites, mixes, popcorn, and pretzels. The company provides its products primarily under the Hershey's, Reese's, Kisses, Jolly Rancher, Almond Joy, Brookside, barkTHINS, Cadbury, Good & Plenty, Heath, Kit Kat, Payday, Rolo, Twizzlers, Whoppers, York, Ice Breakers, Breath Savers, Bubble Yum, Lily's, SkinnyPop, Pirates Booty, Dot's Homestyle Pretzels, and ONE Bar brands, as well as under the Pelon Pelo Rico, IO-IO, and Sofit brands. It markets and sells its products to wholesale distributors, chain grocery stores, mass merchandisers, chain drug stores, vending companies, wholesale clubs, convenience stores, dollar stores, concessionaires, and department stores. The company exports its products in approximately 80 countries worldwide. The Hershey Company was founded in 1894 and is headquartered in Hershey, Pennsylvania."
TXN,12500 TI Boulevard,Dallas,United States,https://www.ti.com,Semiconductors,semiconductors,Semiconductors,Technology,technology,Technology,34000,9,9,8,6,8,1/1/2025 1:00,http://investor.ti.com/,"Texas Instruments Incorporated designs, manufactures, and sells semiconductors to electronics designers and manufacturers in the United States and internationally. The company operates through Analog and Embedded Processing segments. The Analog segment offers power products to manage power requirements across various voltage levels, including battery-management solutions, DC/DC switching regulators, AC/DC and isolated controllers and converters, power switches, linear regulators, voltage references, and lighting products. This segment provides signal chain products that sense, condition, and measure signals to allow information to be transferred or converted for further processing and control, including amplifiers, data converters, interface products, motor drives, clocks, and logic and sensing products. The Embedded Processing segment offers microcontrollers that are used in electronic equipment; digital signal processors for mathematical computations; and applications processors for specific computing activity. This segment offers products for use in various markets, such as industrial, automotive, personal electronics, communications equipment, enterprise systems, and calculators and other. It provides DLP products primarily for use in project high-definition images; calculators; and application-specific integrated circuits. The company markets and sells its semiconductor products through direct sales and distributors, as well as through its website. Texas Instruments Incorporated was founded in 1930 and is headquartered in Dallas, Texas."
TCEHY,Tencent Binhai Towers,Shenzhen,China,https://www.tencent.com,Internet Content & Information,internet-content-information,Internet Content & Information,Communication Services,communication-services,Communication Services,105417,,,,,,,,"Tencent Holdings Limited, an investment holding company, offers value-added services (VAS), online advertising, fintech, and business services in the People's Republic of China and internationally. It operates through VAS, Online Advertising, FinTech and Business Services, and Others segments. The company's consumers business provides communication and services, such as instant messaging and social network; digital content including online games, videos, live streaming, news, music, and literature; fintech services, which includes mobile payment, wealth management, loans, and securities trading; and various tools, such as network security management, browser, navigation, application management, email, etc. Its enterprise business comprises marketing solutions, which offers digital tools including user insight, creative management, placement strategy, and digital assets management; and cloud services, such as cloud computing, big data analytics, artificial intelligence, Internet of Things, security and other technologies for financial services, education, healthcare, retail, industry, transport, energy, and radio & television application. In addition, the company operates innovation business, which includes artificial intelligences; and discover and develops enterprise and next-generation technologies for food production, energy, and water management application. Tencent Holdings Limited was formerly known as Tencent (BVI) Limited and changed its name to Tencent Holding Limited in February 2004. The company was founded in 1998 and is headquartered in Shenzhen, the People's Republic of China."
TMSNY,Esplanade de Pont-Rouge 9C,Lancy,Switzerland,https://www.temenos.com,Software - Application,software-application,Software - Application,Technology,technology,Technology,6565,,,,,,,,"Temenos AG develops, markets, and sells integrated banking software systems to banking and other financial institutions worldwide. Its Temenos Banking Cloud helps banks to offer open banking services. The company provides Temenos Infinity, a digital banking platform; Temenos Transact, a core banking software for retail, corporate, treasury, wealth, and payments; Temenos Payments, a software-as-a-service payments technology; Temenos Multifonds, a platform for traditional and alternative funds, as well as offers key asset servicing, position keeping, valuation and accounting functions for various structures of pooled vehicles and funds; Temenos Multifonds Navigator, a net asset value shadow, oversight, and contingency solution; and Temenos Quantum, a multi-experience development platform. It also offers Temenos XAI that enables banks to provide individualized customer experiences, drive customer loyalty and profitability, and automate processes; Temenos Financial Crime Mitigation that allows banks and financial institutions to avoid regulatory fines, detect fraud, and mitigate reputational risks; Temenos Analytics, a reporting, analytics, and business intelligence product; Temenos Regulatory Compliance for addressing fraud, remaining compliant with regulations, and managing risks; Temenos Wealth, an integrated portfolio management and securities trading platform for wealth managers and private bankers; and Temenos DataSource, an enterprise data management solution. In addition, it provides various solutions for retail, business, universal, central, Islamic, corporate, and private banking; life and pension; challenger banks and fintechs; wealth management; credit unions; financial inclusion; and asset managers and asset services. The company was formerly known as Temenos Group AG and changed its name to Temenos AG in May 2018. The company was founded in 1993 and is based in Lancy, Switzerland."
TGYM.MI,"Via Calcinaro, 2861",Cesena,Italy,https://www.technogym.com,Leisure,leisure,Leisure,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,2351,5,7,10,7,9,1/1/2025 1:00,,"Technogym S.p.A., a wellness company, designs, manufactures, and sells fitness equipment worldwide. The company offers a range of wellness, physical exercise, and rehabilitation solutions. Its products include treadmills, exercise bikes, elliptical machines and cross trainers, rowers, workout bench, multi gym, dumbbells and kettlebells, weight training set, gym racks and benches, barbells and plates, and strength training machines. The company also offers fitness accessories, including sling trainer, wellness balls, exercise mat, floor mat, foam roller, jump rope, loop bands, power bands, elastic bands, mobility stick and ball, balance pad and dome, cones, speed ladder, medicine ball, slam ball, bike weights, plyobox, training and case kits, and bike pedals; and cable machines, free weights, workout clothes, flexibility and stretching equipment, workout gear, indoor cycling gear, multi gyms, plate loaded strength equipment, weight racks, rowing machine, stair climbers, upper body machines, and gym storage racks, as well as operates its Technogym app. The company markets its products to fitness and wellness clubs; hospitality and residential; and home and consumer segments through field and inside sales, retail, and wholesale channels. The company was founded in 1983 and is headquartered in Cesena, Italy."
TROW,100 East Pratt Street,Baltimore,United States,https://www.troweprice.com,Asset Management,asset-management,Asset Management,Financial Services,financial-services,Financial Services,8104,4,8,7,7,7,1/1/2025 1:00,http://trow.client.shareholder.com/,"T. Rowe Price Group, Inc. is a publicly owned investment manager. The firm provides its services to individuals, institutional investors, retirement plans, financial intermediaries, and institutions. It launches and manages equity and fixed income mutual funds. The firm invests in the public equity and fixed income markets across the globe. It employs fundamental and quantitative analysis with a bottom-up approach. The firm utilizes in-house and external research to make its investments. It employs socially responsible investing with a focus on environmental, social, and governance issues. It makes investment in late-stage venture capital transactions and usually invests between $3 million and $5 million. The firm was previously known as T. Rowe Group, Inc. and T. Rowe Price Associates, Inc. T. Rowe Price Group, Inc. was founded in 1937 and is based in Baltimore, Maryland, with additional offices in Colorado Springs, Colorado; Owings Mills, Maryland; San Francisco, California; New York, New York; Philadelphia, Pennsylvania; Tampa, Florida; Toronto, Ontario; Hellerup, Denmark; Amsterdam, The Netherlands; Luxembourg, Grand Duchy of Luxembourg; Zurich, Switzerland; Dubai, United Arab Emirates; London, United Kingdom; Sydney, New South Wales; Hong Kong; Tokyo, Japan; Singapore; Frankfurt, Shanghai, China; Germany, Madrid, Spain, Milan, Italy, Stockholm, Sweden, Melbourne, Australia, Amsterdam, Netherlands and Washington, DC."
TRBCX,Baltimore MD 21202,,,,,,,,,,,,,,,,,,"The fund normally invests at least 80% of its net assets (including any borrowings for investment purposes) in the common stocks of large and medium-sized blue chip growth companies. It focuses on companies with leading market positions, seasoned management, and strong financial fundamentals. The fund is non-diversified."
SNPS,675 Almanor Avenue,Sunnyvale,United States,https://www.synopsys.com,Software - Infrastructure,software-infrastructure,Software - Infrastructure,Technology,technology,Technology,20300,1,7,6,4,4,12/1/2024 1:00,http://www.synopsys.com/Company/InvestorRelations/Pages/default.aspx,"Synopsys, Inc. provides electronic design automation software products used to design and test integrated circuits. It operates in three segments: Design Automation, Design IP, and Software Integrity. The company offers Digital and Custom IC Design solution that provides digital design implementation solutions; Verification solution that offers virtual prototyping, static and formal verification, simulation, emulation, field programmable gate array (FPGA)-based prototyping, and debug solutions; and FPGA design products that are programmed to perform specific functions. It also provides intellectual property (IP) solutions for USB, PCI Express, DDR, Ethernet, MIPI, HDMI, and Bluetooth low energy applications; logic libraries and embedded memories; processor cores, software, and application-specific instruction-set processor tools for embedded applications; security IP solutions; IP solutions for automotive market; and system-on-chip (SoC) infrastructure IP, datapath and building block IP, and verification IP products, as well as mathematical and floating-point components, and Arm AMBA interconnect fabric and peripherals. In addition, the company offers HAPS FPGA-based prototyping systems; virtual prototyping solutions; and Platform Architect solutions for SoC architecture analysis and optimization, as well as optical products, and mechatronic simulations. Further, it provides security and quality testing products, managed services, programs and professional services, and training that enable its customers to detect and remediate security vulnerabilities, and defects in the software development lifecycle, as well as manufacturing solutions. Additionally, the company provides intelligent orchestration solution, software risk manager, and black duck software composition analysis tools. It serves electronics, financial services, automotive, medicine, energy, and industrial areas. The company was incorporated in 1986 and is headquartered in Sunnyvale, California."
SYIEY,MUehlenfeldstrasse 1,Holzminden,Germany,https://www.symrise.com,Specialty Chemicals,specialty-chemicals,Specialty Chemicals,Basic Materials,basic-materials,Basic Materials,12538,,,,,,,http://www.symrise.com/en/investor-relations.html,"Symrise AG supplies fragrances, flavorings, cosmetic active ingredients and raw materials, and functional ingredients in Europe, Africa, the Middle East, North America, the Asia Pacific, and Latin America. It operates through two segments, Taste, Nutrition & Health; and Scent & Care. The Taste, Nutrition & Health segment provides functional ingredients and product solutions used in the production of food and beverages; savory flavors; natural and sustainable ingredients for food and beverage manufacturers, baby food, and dietary supplements; product solutions and services for pet food manufacturers; sustainable ingredients and services for fish feed manufacturers to develop solutions for fish and shrimp farms; and probiotics for food supplements and functional foods. The Scent & Care segment develops, produces, and sells fragrance ingredients and compositions, aroma molecules, cosmetic ingredients, and mint flavors, as well as specific application processes for such substances. This segment's products are used by manufacturers of perfumes, personal care and cosmetic products, cleaning products, detergents, air fresheners, and oral care products. Symrise AG was founded in 1874 and is headquartered in Holzminden, Germany."
SYK,1941 Stryker Way,Portage,United States,https://www.stryker.com,Medical Devices,medical-devices,Medical Devices,Healthcare,healthcare,Healthcare,52000,9,4,5,6,6,1/1/2025 1:00,http://phx.corporate-ir.net/phoenix.zhtml?c=118965&p=irol-irhome,"Stryker Corporation operates as a medical technology company. The company operates through two segments, MedSurg and Neurotechnology, and Orthopaedics and Spine. The Orthopaedics and Spine segment provides implants for use in total joint replacements, such as hip, knee and shoulder, and trauma and extremities surgeries. This segment also offers spinal implant products comprising cervical and thoracolumbar systems that include fixation, minimally invasive and interbody systems used in spinal injury, complex spine and degenerative therapies. The MedSurg and Neurotechnology segment offers surgical equipment, and surgical navigation systems, endoscopic and communications systems, patient handling, emergency medical equipment and intensive care disposable products, reprocessed and remanufactured medical devices, clinical communication and workflow solutions, and other medical device products that are used in various medical specialties, as well as patient and caregiver safety technologies. This segment also provides neurosurgical, neurovascular and craniomaxillofacial implant products, which include products used for minimally invasive endovascular procedures; products for brain and open skull based surgical procedures; orthobiologic and biosurgery products, such as synthetic bone grafts and vertebral augmentation products; minimally invasive products for the treatment of acute ischemic and hemorrhagic stroke; and craniomaxillofacial implant products, including cranial, maxillofacial, and chest wall devices, as well as dural substitutes and sealants. The company sells its products to doctors, hospitals, and other healthcare facilities through company-owned subsidiaries and branches, as well as third-party dealers and distributors in approximately 75 countries. Stryker Corporation was founded in 1941 and is headquartered in Portage, Michigan."
SAUHF,Peter Merian-Weg 12,Basel,Switzerland,https://www.straumann.com,Medical Instruments & Supplies,medical-instruments-supplies,Medical Instruments & Supplies,Healthcare,healthcare,Healthcare,11145,2,5,3,1,3,1/1/2025 1:00,,"Straumann Holding AG provides tooth replacement and orthodontic solutions worldwide. It researches, develops, manufactures, and supplies dental implants, instruments, CADCAM prosthetics, orthodontic aligners, biomaterials, and digital solutions for use in tooth correction, replacement, and restoration, as well as to prevent tooth loss. The company offers dental implants and components made from titanium, titanium alloy, and ceramics; prosthetic elements made od ceramics, metal or polymer; and clear aligners. In addition, it offers resins for 3D printing and thermoplastics for clear aligner production; and biomaterials for tissue generation. Further, it provides digital equipment comprising scanners, milling machines and 3D printers. Further, it offers training and education services. The company provides its products to general dentists, specialists, and dental technicians and laboratories, as well as customers, such as distributors, hospitals, universities, and dental service organizations in approximately 100 countries through a network of distribution subsidiaries and partners. Straumann Holding AG was founded in 1954 and is headquartered in Basel, Switzerland."
SBUX,2401 Utah Avenue South,Seattle,United States,https://www.starbucks.com,Restaurants,restaurants,Restaurants,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,,6,3,1,2,1,1/1/2025 1:00,http://investor.starbucks.com/phoenix.zhtml?c=99518&p=irol-IRHome,"Starbucks Corporation, together with its subsidiaries, operates as a roaster, marketer, and retailer of coffee worldwide. The company operates through three segments: North America, International, and Channel Development. Its stores offer coffee, tea, and other beverages, roasted whole beans and ground coffees, single serve products, and ready-to-drink beverages; and various food products, such as pastries, breakfast sandwiches, and lunch items. The company also licenses its trademarks through licensed stores, and grocery and foodservice accounts. The company offers its products under the Starbucks Coffee, Teavana, Seattle's Best Coffee, Ethos, and Starbucks Reserve brands. Starbucks Corporation was founded in 1971 and is based in Seattle, Washington."
F000003W8R.L,"3 Summerfield Drive, Anstey, Leicestershire, LE7 7QA",,,,,,,,,,,,,,,,,,"The investment objective of the Scheme is to provide capital appreciation through investment in a portfolio of quoted securities on a worldwide basis. 
The Scheme will be invested, at the Manager&#39;s discretion, primarily in global equities and may also be invested in cash and near cash. The Scheme is also permitted to invest in other transferable securities, money market instruments, units in collective investment schemes, deposits, and derivatives and forward transactions (for the purposes of hedging only)."
SPXSF,Charlton House,Cheltenham,United Kingdom,https://www.spiraxgroup.com,Specialty Industrial Machinery,specialty-industrial-machinery,Specialty Industrial Machinery,Industrials,industrials,Industrials,10000,3,3,1,1,1,1/1/2025 1:00,,"Spirax Group PLC provides thermal energy and fluid technology solutions. The company offers industrial and commercial steam systems, including condensate management, controls, and thermal energy management products and solutions for heating, curing, cooking, drying, cleaning, sterilizing, space heating, humidifying, vacuum packing, and producing hot water; electrical process heating and temperature management solutions, such as industrial heaters and systems, heat tracing, and various component technologies for industrial processes; and peristaltic and niche pumps and associated fluid path technologies, including tubing, specialty filling systems, and products for single-use applications. The company serves pharmaceutical and biotechnology, food, beverage, oil, gas, chemical, power generation, healthcare, water and wastewater, buildings, mining and precious metal processing, semiconductor, and transport sectors, as well as original equipment manufacturers. It operates in Europe, the Middle East, and Africa; the Asia Pacific; and the Americas. The company was formerly known as Spirax-Sarco Engineering plc and changed its name to Spirax Group PLC in June 2024. Spirax Group PLC was founded in 1888 and is headquartered in Cheltenham, the United Kingdom."
SCCO,7310 North 16th St,Phoenix,United States,https://www.southerncoppercorp.com,Copper,copper,Copper,Basic Materials,basic-materials,Basic Materials,15810,9,10,4,4,7,1/1/2025 1:00,http://www.southerncoppercorp.com/ENG/invrel/Pages/Home.aspx,"Southern Copper Corporation engages in mining, exploring, smelting, and refining copper and other minerals in Peru, Mexico, Argentina, Ecuador, and Chile. The company is involved in the mining, milling, and flotation of copper ore to produce copper and molybdenum concentrates; smelting of copper concentrates to produce blister and anode copper; refining of anode copper to produce copper cathodes; production of molybdenum concentrate and sulfuric acid; production of refined silver, gold, and other materials; and mining and processing of zinc, copper, molybdenum, silver, gold, and lead. It operates the Toquepala and Cuajone open-pit mines, and a smelter and refinery in Peru; and La Caridad, an open-pit copper mine, as well as a copper ore concentrator, a SX-EW plant, a smelter, refinery, and a rod plant in Mexico. The company also operates Buenavista, an open-pit copper mine, as well as two copper concentrators and two operating SX-EW plants in Mexico. In addition, it operates underground mines that produce zinc, lead, copper, silver, and gold; a coal mine; and a zinc refinery. The company has interests in 156,818 hectares and 502,688 hectares of concessions in Peru and Mexico; and 168,200 hectares and 28,453 hectares of exploration concessions in Argentina and Chile. Southern Copper Corporation was incorporated in 1952 and is based in Phoenix, Arizona. Southern Copper Corporation is a subsidiary of Americas Mining Corporation."
SONVY,LaubisrUetistrasse 28,Stäfa,Switzerland,https://www.sonova.com,Medical Devices,medical-devices,Medical Devices,Healthcare,healthcare,Healthcare,18151,,,,,,,,"Sonova Holding AG manufactures and sells hearing care solutions for adults and children in the United States, Europe, the Middle East, Africa, and the Asia Pacific. It operates through two segments, Hearing Instruments and Cochlear Implants segments. The Hearing Instruments segments engages in the design, development, manufacture, distribution, and service of hearing instruments and related products, as well as wireless headsets, speech-enhanced hearables, and audiophile headphones under the Phonak, Unitron, Hansaton, and Sennheiser brand names; and audiological care services under the AudioNova, Audium, Audition Santé, Boots Hearingcare, Connect Hearing, Geers, Hansaton, Lapperre, Schoonenberg, and Triton Hearing brands. The Cochlear Implants segment is involved in the design, development, manufacture, distribution, and service of hearing implants and related products under the Advanced Bionics brand. The company sells its products through independent distributors; and provides hearing care services through a network of stores and clinics. The company was formerly known as Phonak Holding AG and changed its name to Sonova Holding AG in August 2007. The company was founded in 1947 and is headquartered in Stäfa, Switzerland."
SIRI,1221 Avenue of the Americas,New York,United States,https://www.siriusxm.com,Entertainment,entertainment,Entertainment,Communication Services,communication-services,Communication Services,5680,4,8,6,6,6,1/1/2025 1:00,,"Sirius XM Holdings Inc. operates as an audio entertainment company in North America. It operates in two segments, Sirius XM, and Pandora and Off-platform. The company's Sirius XM segment provides music, sports, entertainment, comedy, talk, news, traffic and weather channels, and other content, as well as podcast and infotainment services on subscription fee basis; and live, curated, and exclusive and on demand programming services through satellite radio systems and streamed through applications for mobile and home devices, and other consumer electronic equipment. This segment also distributes satellite radios through automakers and retailers, as well as its website; podcasts, including true crime, news, politics, music, comedy, sports, and entertainment; and offers location-based services through two-way wireless connectivity, including safety, security, convenience, maintenance and data, remote vehicles diagnostic, and stolen or parked vehicle locator services. In addition, this segment provides music channels on the DISH Network satellite television service as a programming package; Travel Link, a suite of data services that include graphical weather, fuel prices, sports schedule and scores, and movie listings; graphic information related to road closings, traffic flow, and incident data for consumers with in-vehicle navigation systems; real-time weather services in vehicles, boats, and planes; and music programming and commercial-free music services for office, restaurants, and other business. Its Pandora and Off-platform segment operates music, comedy, and podcast streaming platform, which offers personalized experience for listener through computers, tablets, mobile devices, vehicle speakers, and connected devices; and provides advertising services. The company was incorporated in 2013 and is headquartered in New York."
